Comment,Description,Designator,Footprint,LibRef,Quantity

"100nf","Capacitor","C1, C2, C3, C4, C5, C6","RESC2012X50N","08055A150JAT2A","6"
"10nf","Capacitor","C7","RESC2012X50N","08055A150JAT2A","1"
"10029449-111RLF","","CN1","HDMI-SMD_10029449-001RLF","10029449-111RLF","1"
"CONN1(FPC)","Conn FPC Connector SKT 22 POS 1mm Solder RA SMD Automotive T/R","CN2","XF3M122151B","2-84953-2","1"
"AT25DF041B-SSHN-B","Integrated Circuit","IC1","SOIC127P600X175-8N","AT25DF041B-SSHN-B","1"
"0R(SB)","Resistor","JMP1","RESC2012X50N","CPF0805B102RE1","1"
"10K","Resistor","R1, R2","RESC2012X50N","CPF0805B102RE1","2"
"180R","Resistor","R3","RESC2012X50N","CPF0805B102RE1","1"
"4.7K","Resistor","R4, R6","RESC2012X50N","CPF0805B102RE1","2"
"330R","Resistor","R5","RESC2012X50N","CPF0805B102RE1","1"
"TC2030","","SF1","TC2030MCP","2.54-1x6P直针","1"
"test_point","","TP1, TP2, TP3, TP4","TP1","Component_1","4"
"XC3S200A","Integrated Circuit","U1","QFP50P1600X1600X120-100N","XC3S200A-4VQG100C","1"
"LP2980AIM5X-5.0/NOPB","","VR1","MF05A_TEX","LP2980AIM5X-5.0/NOPB","1"
"TLV70212DBVR","","VR2","MF05A_TEX","TLV70212DBVR","1"
